"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 09:41:27 GMT 2023","Sun Sep 10 09:41:28 GMT 2023","669","","Google Translate | Text Translate Regression Tests","","","","""before all"" hook",""
"passed","Sun Sep 10 09:41:53 GMT 2023","Sun Sep 10 09:42:00 GMT 2023","7582","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-05 - User should see ""Translate from"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sun Sep 10 09:41:19 GMT 2023","Sun Sep 10 09:41:20 GMT 2023","1021","","Google Translate | Document Translate Regression Tests","","","","""before all"" hook",""
"passed","Sun Sep 10 09:42:00 GMT 2023","Sun Sep 10 09:42:08 GMT 2023","8032","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-06 - User should see ""Translate instead"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sun Sep 10 09:42:08 GMT 2023","Sun Sep 10 09:42:13 GMT 2023","4845","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-07 - User should not be able select same languages in Source/Target fields",""
"passed","Sun Sep 10 09:41:45 GMT 2023","Sun Sep 10 09:41:53 GMT 2023","7403","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-04 - User should see ""Translate from"" tooltip after after entering text",""
"passed","Sun Sep 10 09:42:22 GMT 2023","Sun Sep 10 09:42:22 GMT 2023","25","","Google Translate | Text Translate Regression Tests","","","","""after all"" hook",""
"passed","Sun Sep 10 09:41:39 GMT 2023","Sun Sep 10 09:41:45 GMT 2023","6532","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-03 - User should see ""Translate instead"" autocorrection option for text with a typo",""
"passed","Sun Sep 10 09:41:25 GMT 2023","Sun Sep 10 09:41:25 GMT 2023","38","","Google Translate | Document Translate Regression Tests","","","","""after all"" hook",""
"passed","Sun Sep 10 09:41:21 GMT 2023","Sun Sep 10 09:41:22 GMT 2023","1296","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-02 - User should be able to see tab captions and click ""Learn more"" button",""
"passed","Sun Sep 10 09:41:33 GMT 2023","Sun Sep 10 09:41:39 GMT 2023","5650","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-02 - User should see ""Showing translation for"" autocorrection option for text with a typo",""
"passed","Sun Sep 10 09:41:20 GMT 2023","Sun Sep 10 09:41:21 GMT 2023","986","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-01 - User should not be able to load not permitted file",""
"passed","Sun Sep 10 09:41:28 GMT 2023","Sun Sep 10 09:41:33 GMT 2023","5457","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-01 - User should see ""Did you mean"" autocorrection option for text with a typo",""
"passed","Sun Sep 10 09:42:13 GMT 2023","Sun Sep 10 09:42:22 GMT 2023","8473","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-08 - User should be able to use redirect button after inserting link",""
"passed","Sun Sep 10 09:41:22 GMT 2023","Sun Sep 10 09:41:25 GMT 2023","2938","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-03 - User should be able to check ""Powered by"" link",""
