"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 19:25:58 GMT 2023","Thu Sep 07 19:25:59 GMT 2023","767","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-01 - User should not be able to load not permitted file",""
"passed","Thu Sep 07 19:26:00 GMT 2023","Thu Sep 07 19:26:03 GMT 2023","2863","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-03 - User should be able to check ""Powered by"" link",""
"passed","Thu Sep 07 19:25:57 GMT 2023","Thu Sep 07 19:25:58 GMT 2023","1350","","Google Translate | Document Translate Regression Tests","","","","""before all"" hook",""
"passed","Thu Sep 07 19:26:03 GMT 2023","Thu Sep 07 19:26:03 GMT 2023","61","","Google Translate | Document Translate Regression Tests","","","","""after all"" hook",""
"passed","Thu Sep 07 19:25:59 GMT 2023","Thu Sep 07 19:26:00 GMT 2023","1144","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-02 - User should be able to see tab captions and click ""Learn more"" button",""
