"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 22:27:24 GMT 2023","Sat Sep 09 22:27:33 GMT 2023","8527","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-08 - User should be able to use redirect button after inserting link",""
"passed","Sat Sep 09 22:27:19 GMT 2023","Sat Sep 09 22:27:24 GMT 2023","4849","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-07 - User should not be able select same languages in Source/Target fields",""
"passed","Sat Sep 09 22:27:01 GMT 2023","Sat Sep 09 22:27:08 GMT 2023","7651","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-05 - User should see ""Translate from"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sat Sep 09 22:27:33 GMT 2023","Sat Sep 09 22:27:33 GMT 2023","24","","Google Translate | Text Translate Regression Tests","","","","""after all"" hook",""
"passed","Sat Sep 09 22:26:46 GMT 2023","Sat Sep 09 22:26:53 GMT 2023","7495","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-03 - User should see ""Translate instead"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:26:39 GMT 2023","Sat Sep 09 22:26:46 GMT 2023","6973","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-02 - User should see ""Showing translation for"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:26:38 GMT 2023","Sat Sep 09 22:26:39 GMT 2023","804","","Google Translate | Text Translate Regression Tests","","","","""before all"" hook",""
"passed","Sat Sep 09 22:26:53 GMT 2023","Sat Sep 09 22:27:01 GMT 2023","7770","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-04 - User should see ""Translate from"" tooltip after after entering text",""
"passed","Sat Sep 09 22:27:08 GMT 2023","Sat Sep 09 22:27:19 GMT 2023","10697","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-06 - User should see ""Translate instead"" and ""Showing translation for"" tooltips after after entering text",""
