"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 11:12:44 GMT 2023","Sun Sep 10 11:12:48 GMT 2023","3800","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-11 - User should be able to use ""Swap languages"" button on the Image tab",""
"passed","Sun Sep 10 11:13:55 GMT 2023","Sun Sep 10 11:13:55 GMT 2023","43","","Google Translate | Websites Translate Smoke Tests","","","","""after all"" hook",""
"passed","Sun Sep 10 11:12:48 GMT 2023","Sun Sep 10 11:12:48 GMT 2023","49","","Google Translate | Select Language Smoke Tests","","","","""after all"" hook",""
"passed","Sun Sep 10 11:13:43 GMT 2023","Sun Sep 10 11:13:48 GMT 2023","4758","","Google Translate | Websites Translate Smoke Tests","","","","""before all"" hook",""
"passed","Sun Sep 10 11:12:57 GMT 2023","Sun Sep 10 11:13:03 GMT 2023","6224","","Google Translate | Text Translate Smoke Tests","","","","Text-Translate-Smoke-02 - User should be able to use ""Detect Language"" option",""
"passed","Sun Sep 10 11:12:19 GMT 2023","Sun Sep 10 11:12:22 GMT 2023","3548","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-04 - User should be able to search and select languages on the Text tab",""
"failed","Sun Sep 10 11:13:07 GMT 2023","Sun Sep 10 11:13:17 GMT 2023","10646","","Google Translate | Text Translate Smoke Tests","","","","Text-Translate-Smoke-04 - User should be able to copy translated text",""
"passed","Sun Sep 10 11:12:18 GMT 2023","Sun Sep 10 11:12:19 GMT 2023","585","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-04 - User should be able to select languages by click on header on the Image tab",""
"passed","Sun Sep 10 11:13:55 GMT 2023","Sun Sep 10 11:13:55 GMT 2023","126","","Google Translate | Websites Translate Smoke Tests: Google Translate | Websites Translate Smoke Tests | Negative Tests","","","","Websites-Translate-Smoke-04 - User should be able to see aleart when filed is empty",""
"passed","Sun Sep 10 11:13:51 GMT 2023","Sun Sep 10 11:13:55 GMT 2023","3234","","Google Translate | Websites Translate Smoke Tests: Google Translate | Websites Translate Smoke Tests | Negative Tests","","","","Websites-Translate-Smoke-02 - User should be able to see aleart if link is incorrect",""
"passed","Sun Sep 10 11:12:33 GMT 2023","Sun Sep 10 11:12:37 GMT 2023","3717","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-08 - User should be able to use ""Swap languages"" button on the Text tab",""
"passed","Sun Sep 10 11:12:50 GMT 2023","Sun Sep 10 11:12:57 GMT 2023","6485","","Google Translate | Text Translate Smoke Tests","","","","Text-Translate-Smoke-01 - User should be able to translate text",""
"passed","Sun Sep 10 11:12:26 GMT 2023","Sun Sep 10 11:12:30 GMT 2023","3503","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-06 - User should be able to search and select languages on the Website tab",""
"passed","Sun Sep 10 11:13:41 GMT 2023","Sun Sep 10 11:13:41 GMT 2023","36","","Google Translate | Text Translate Smoke Tests","","","","""after all"" hook",""
"passed","Sun Sep 10 11:12:37 GMT 2023","Sun Sep 10 11:12:40 GMT 2023","3756","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-09 - User should be able to use ""Swap languages"" button on the Document tab",""
"passed","Sun Sep 10 11:12:30 GMT 2023","Sun Sep 10 11:12:33 GMT 2023","3437","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-07 - User should be able to search and select languages on the Image tab",""
"passed","Sun Sep 10 11:12:18 GMT 2023","Sun Sep 10 11:12:18 GMT 2023","603","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-03 - User should be able to select languages by click on header on the Website tab",""
"failed","Sun Sep 10 11:13:30 GMT 2023","Sun Sep 10 11:13:41 GMT 2023","10285","","Google Translate | Text Translate Smoke Tests","","","","Text-Translate-Smoke-07 - User should be able to click on the ""Show more/less"" buttons for long Transcription",""
"failed","Sun Sep 10 11:11:50 GMT 2023","Sun Sep 10 11:12:01 GMT 2023","11272","","Google Translate | Document Translate Smoke Tests","","","","Document-Transalate-Smoke-02 - User should be able to remove uploaded file",""
"passed","Sun Sep 10 11:13:55 GMT 2023","Sun Sep 10 11:13:55 GMT 2023","482","","Google Translate | Websites Translate Smoke Tests: Google Translate | Websites Translate Smoke Tests | Negative Tests","","","","Websites-Translate-Smoke-03 - User should be able to use clear field button",""
"passed","Sun Sep 10 11:12:13 GMT 2023","Sun Sep 10 11:12:13 GMT 2023","56","","Google Translate | Document Translate Smoke Tests","","","","""after all"" hook",""
"passed","Sun Sep 10 11:13:03 GMT 2023","Sun Sep 10 11:13:07 GMT 2023","3675","","Google Translate | Text Translate Smoke Tests","","","","Text-Translate-Smoke-03 - User should be able to clear text by clicking on X button",""
"passed","Sun Sep 10 11:11:48 GMT 2023","Sun Sep 10 11:11:50 GMT 2023","1592","","Google Translate | Document Translate Smoke Tests","","","","Document-Transalate-Smoke-01 - User should be able to see name and size of uploaded file",""
