"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 11:12:17 GMT 2023","Sun Sep 10 11:12:18 GMT 2023","655","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-02 - User should be able to select languages by click on header on the Document tab",""
"passed","Sun Sep 10 11:12:16 GMT 2023","Sun Sep 10 11:12:17 GMT 2023","906","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-01 - User should be able to select languages by click on header on the Text tab",""
"passed","Sun Sep 10 11:13:17 GMT 2023","Sun Sep 10 11:13:21 GMT 2023","3863","","Google Translate | Text Translate Smoke Tests","","","","Text-Translate-Smoke-05 - User should be able to see character limit row",""
"passed","Sun Sep 10 11:12:40 GMT 2023","Sun Sep 10 11:12:44 GMT 2023","3707","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-10 - User should be able to use ""Swap languages"" button on the Website tab",""
"passed","Sun Sep 10 11:12:15 GMT 2023","Sun Sep 10 11:12:16 GMT 2023","862","","Google Translate | Select Language Smoke Tests","","","","""before all"" hook",""
"failed","Sun Sep 10 11:13:21 GMT 2023","Sun Sep 10 11:13:30 GMT 2023","9042","","Google Translate | Text Translate Smoke Tests","","","","Text-Translate-Smoke-06 - User should be able to see Transcription row",""
"failed","Sun Sep 10 11:12:01 GMT 2023","Sun Sep 10 11:12:02 GMT 2023","968","","Google Translate | Document Translate Smoke Tests","","","","Document-Transalate-Smoke-03 - User should be able to tranlate uploaded file",""
"passed","Sun Sep 10 11:13:48 GMT 2023","Sun Sep 10 11:13:51 GMT 2023","3563","","Google Translate | Websites Translate Smoke Tests","","","","Websites-Translate-Smoke-01 - User should be able to translate page",""
"passed","Sun Sep 10 11:12:22 GMT 2023","Sun Sep 10 11:12:26 GMT 2023","3583","","Google Translate | Select Language Smoke Tests","","","","Select-Language-Smoke-05 - User should be able to search and select languages on the Document tab",""
"failed","Sun Sep 10 11:12:02 GMT 2023","Sun Sep 10 11:12:13 GMT 2023","10732","","Google Translate | Document Translate Smoke Tests","","","","Document-Transalate-Smoke-04 - User should be able to remove translated file",""
