"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 21:29:00 GMT 2023","Sat Sep 09 21:29:05 GMT 2023","4825","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-07 - User should not be able select same languages in Source/Target fields",""
"failed","Sat Sep 09 21:28:15 GMT 2023","Sat Sep 09 21:28:28 GMT 2023","13433","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-01 - User should see ""Did you mean"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 21:29:05 GMT 2023","Sat Sep 09 21:29:14 GMT 2023","8396","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-08 - User should be able to use redirect button after inserting link",""
"passed","Sat Sep 09 21:28:14 GMT 2023","Sat Sep 09 21:28:15 GMT 2023","834","","Google Translate | Text Translate Regression Tests","","","","""before all"" hook",""
"passed","Sat Sep 09 21:29:14 GMT 2023","Sat Sep 09 21:29:14 GMT 2023","39","","Google Translate | Text Translate Regression Tests","","","","""after all"" hook",""
"failed","Sat Sep 09 21:28:47 GMT 2023","Sat Sep 09 21:28:50 GMT 2023","3178","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-05 - User should see ""Translate from"" and ""Showing translation for"" tooltips after after entering text",""
"failed","Sat Sep 09 21:28:28 GMT 2023","Sat Sep 09 21:28:32 GMT 2023","3201","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-02 - User should see ""Showing translation for"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 21:28:40 GMT 2023","Sat Sep 09 21:28:47 GMT 2023","7326","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-04 - User should see ""Translate from"" tooltip after after entering text",""
"failed","Sat Sep 09 21:28:32 GMT 2023","Sat Sep 09 21:28:40 GMT 2023","8262","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-03 - User should see ""Translate instead"" autocorrection option for text with a typo",""
"failed","Sat Sep 09 21:28:50 GMT 2023","Sat Sep 09 21:29:00 GMT 2023","10117","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-06 - User should see ""Translate instead"" and ""Showing translation for"" tooltips after after entering text",""
