"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 09 22:30:42 GMT 2023","Sat Sep 09 22:30:56 GMT 2023","14521","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-01 - User should see ""Did you mean"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:31:38 GMT 2023","Sat Sep 09 22:31:38 GMT 2023","27","","Google Translate | Text Translate Regression Tests","","","","""after all"" hook",""
"failed","Sat Sep 09 22:31:26 GMT 2023","Sat Sep 09 22:31:29 GMT 2023","3349","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-07 - User should not be able select same languages in Source/Target fields",""
"failed","Sat Sep 09 22:31:09 GMT 2023","Sat Sep 09 22:31:17 GMT 2023","7953","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-05 - User should see ""Translate from"" and ""Showing translation for"" tooltips after after entering text",""
"failed","Sat Sep 09 22:31:06 GMT 2023","Sat Sep 09 22:31:09 GMT 2023","3434","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-04 - User should see ""Translate from"" tooltip after after entering text",""
"passed","Sat Sep 09 22:31:17 GMT 2023","Sat Sep 09 22:31:26 GMT 2023","8497","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-06 - User should see ""Translate instead"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sat Sep 09 22:30:39 GMT 2023","Sat Sep 09 22:30:42 GMT 2023","2322","","Google Translate | Text Translate Regression Tests","","","","""before all"" hook",""
"passed","Sat Sep 09 22:31:29 GMT 2023","Sat Sep 09 22:31:38 GMT 2023","8798","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-08 - User should be able to use redirect button after inserting link",""
"passed","Sat Sep 09 22:31:00 GMT 2023","Sat Sep 09 22:31:06 GMT 2023","6079","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-03 - User should see ""Translate instead"" autocorrection option for text with a typo",""
"failed","Sat Sep 09 22:30:56 GMT 2023","Sat Sep 09 22:31:00 GMT 2023","3606","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-02 - User should see ""Showing translation for"" autocorrection option for text with a typo",""
