"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 20:03:17 GMT 2023","Thu Sep 07 20:03:25 GMT 2023","8262","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-02 - User should be able to use redirect button after inserting link",""
"failed","Thu Sep 07 20:03:58 GMT 2023","Thu Sep 07 20:04:08 GMT 2023","10001","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-06 - User should see ""Translate from"" tooltip after after entering text",""
"failed","Thu Sep 07 20:04:08 GMT 2023","Thu Sep 07 20:04:18 GMT 2023","10005","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-07 - User should see ""Translate from"" and ""Showing translation for"" tooltips after after entering text",""
"failed","Thu Sep 07 20:04:18 GMT 2023","Thu Sep 07 20:04:28 GMT 2023","10006","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-08 - User should see ""Translate instead"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Thu Sep 07 20:02:59 GMT 2023","Thu Sep 07 20:03:00 GMT 2023","1003","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-01 - User should not be able to load not permitted file",""
"passed","Thu Sep 07 20:03:02 GMT 2023","Thu Sep 07 20:03:06 GMT 2023","4193","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-03 - User should be able to check ""Powered by"" link",""
"failed","Thu Sep 07 20:03:48 GMT 2023","Thu Sep 07 20:03:58 GMT 2023","10005","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-05 - User should see ""Translate instead"" autocorrection option for text with a typo",""
"passed","Thu Sep 07 20:03:10 GMT 2023","Thu Sep 07 20:03:17 GMT 2023","6053","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-01 - User should not be able select same languages in Source/Target fields",""
"passed","Thu Sep 07 20:03:06 GMT 2023","Thu Sep 07 20:03:06 GMT 2023","86","","Google Translate | Document Translate Regression Tests","","","","""after all"" hook",""
"passed","Thu Sep 07 20:04:29 GMT 2023","Thu Sep 07 20:04:29 GMT 2023","143","","Google Translate | Text Translate Regression Tests","","","","""after all"" hook",""
"failed","Thu Sep 07 20:03:38 GMT 2023","Thu Sep 07 20:03:48 GMT 2023","10006","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-04 - User should see ""Showing translation for"" autocorrection option for text with a typo",""
"passed","Thu Sep 07 20:02:55 GMT 2023","Thu Sep 07 20:02:59 GMT 2023","4611","","Google Translate | Document Translate Regression Tests","","","","""before all"" hook",""
"passed","Thu Sep 07 20:03:00 GMT 2023","Thu Sep 07 20:03:02 GMT 2023","2037","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-02 - User should be able to see tab captions and click ""Learn more"" button",""
"passed","Thu Sep 07 20:03:09 GMT 2023","Thu Sep 07 20:03:10 GMT 2023","1030","","Google Translate | Text Translate Regression Tests","","","","""before all"" hook",""
"failed","Thu Sep 07 20:03:25 GMT 2023","Thu Sep 07 20:03:38 GMT 2023","13666","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-03 - User should see ""Did you mean"" autocorrection option for text with a typo",""
