"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 22:48:36 GMT 2023","Sat Sep 09 22:48:36 GMT 2023","26","","Google Translate | Text Translate Regression Tests","","","","""after all"" hook",""
"passed","Sat Sep 09 22:48:07 GMT 2023","Sat Sep 09 22:48:15 GMT 2023","7462","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-05 - User should see ""Translate from"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sat Sep 09 22:47:40 GMT 2023","Sat Sep 09 22:47:40 GMT 2023","37","","Google Translate | Document Translate Regression Tests","","","","""after all"" hook",""
"passed","Sat Sep 09 22:47:54 GMT 2023","Sat Sep 09 22:48:00 GMT 2023","6463","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-03 - User should see ""Translate instead"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:48:00 GMT 2023","Sat Sep 09 22:48:07 GMT 2023","7207","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-04 - User should see ""Translate from"" tooltip after after entering text",""
"passed","Sat Sep 09 22:47:48 GMT 2023","Sat Sep 09 22:47:54 GMT 2023","5553","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-02 - User should see ""Showing translation for"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:48:23 GMT 2023","Sat Sep 09 22:48:27 GMT 2023","4812","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-07 - User should not be able select same languages in Source/Target fields",""
"passed","Sat Sep 09 22:47:33 GMT 2023","Sat Sep 09 22:47:35 GMT 2023","1829","","Google Translate | Document Translate Regression Tests","","","","""before all"" hook",""
"passed","Sat Sep 09 22:47:43 GMT 2023","Sat Sep 09 22:47:48 GMT 2023","5252","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-01 - User should see ""Did you mean"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:47:36 GMT 2023","Sat Sep 09 22:47:37 GMT 2023","1265","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-02 - User should be able to see tab captions and click ""Learn more"" button",""
"passed","Sat Sep 09 22:48:27 GMT 2023","Sat Sep 09 22:48:36 GMT 2023","8451","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-08 - User should be able to use redirect button after inserting link",""
"passed","Sat Sep 09 22:47:42 GMT 2023","Sat Sep 09 22:47:43 GMT 2023","709","","Google Translate | Text Translate Regression Tests","","","","""before all"" hook",""
"passed","Sat Sep 09 22:47:37 GMT 2023","Sat Sep 09 22:47:40 GMT 2023","2838","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-03 - User should be able to check ""Powered by"" link",""
"passed","Sat Sep 09 22:48:15 GMT 2023","Sat Sep 09 22:48:23 GMT 2023","7930","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-06 - User should see ""Translate instead"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sat Sep 09 22:47:35 GMT 2023","Sat Sep 09 22:47:36 GMT 2023","978","","Google Translate | Document Translate Regression Tests","","","","Document-Transalate-Regression-01 - User should not be able to load not permitted file",""
